Sus_Jaccard:
(97, 1.0)
(51, 0.047619047619047616)
(58, 0.03333333333333333)
(164, 0.031914893617021274)
(52, 0.014084507042253521)
(104, 0.011834319526627219)
(56, 0.011320754716981131)
(99, 0.011194029850746268)
(127, 0.007692307692307693)
(126, 0.007009345794392523)
(165, 0.005952380952380952)
(135, 0.004838709677419355)
(138, 0.004838709677419355)
(133, 0.004043126684636119)
(141, 0.0020920502092050207)
(148, 0.0019011406844106464)
(158, 0.0019011406844106464)
(159, 0.0019011406844106464)
(160, 0.0019011406844106464)
(161, 0.0019011406844106464)
(162, 0.0019011406844106464)
(163, 0.0019011406844106464)
(166, 0.0019011406844106464)
(167, 0.0019011406844106464)
(168, 0.0019011406844106464)
(169, 0.0019011406844106464)
(171, 0.0019011406844106464)
(50, 0.0)
(53, 0.0)
(61, 0.0)
(63, 0.0)
(72, 0.0)
(73, 0.0)
(79, 0.0)
(81, 0.0)
(90, 0.0)
(91, 0.0)
(109, 0.0)
(112, 0.0)
(118, 0.0)
(119, 0.0)
(120, 0.0)
(122, 0.0)
(124, 0.0)
(128, 0.0)
(172, 0.0)

Sus_Ochiai:
(97, 1.0)
(58, 0.18257418583505539)
(51, 0.18033392693348646)
(164, 0.1786474002526241)
(104, 0.10825317547305484)
(56, 0.1063990353197863)
(99, 0.10580184237878974)
(127, 0.08770580193070292)
(126, 0.08372183582789214)
(135, 0.06956083436402524)
(138, 0.06956083436402524)
(52, 0.06950480468569159)
(133, 0.06358558550989461)
(141, 0.045738935374634825)
(165, 0.04481107149482209)
(148, 0.04360207201969473)
(158, 0.04360207201969473)
(159, 0.04360207201969473)
(160, 0.04360207201969473)
(161, 0.04360207201969473)
(162, 0.04360207201969473)
(163, 0.04360207201969473)
(166, 0.04360207201969473)
(167, 0.04360207201969473)
(168, 0.04360207201969473)
(169, 0.04360207201969473)
(171, 0.04360207201969473)
(50, 0.0)
(53, 0.0)
(61, 0)
(63, 0.0)
(72, 0.0)
(73, 0.0)
(79, 0)
(81, 0.0)
(90, 0.0)
(91, 0.0)
(109, 0.0)
(112, 0)
(118, 0.0)
(119, 0.0)
(120, 0.0)
(122, 0.0)
(124, 0.0)
(128, 0.0)
(172, 0)

Sus_Op2:
(97, 3.0)
(58, 2.9458281444582815)
(164, 2.943337484433375)
(104, 2.8424657534246576)
(56, 2.8368617683686175)
(99, 2.8349937733499377)
(127, 2.7590286425902866)
(126, 2.7353673723536738)
(135, 2.615815691158157)
(138, 2.615815691158157)
(133, 2.5398505603985058)
(141, 2.108966376089664)
(148, 2.019302615193026)
(158, 2.019302615193026)
(159, 2.019302615193026)
(160, 2.019302615193026)
(161, 2.019302615193026)
(162, 2.019302615193026)
(163, 2.019302615193026)
(165, 2.019302615193026)
(166, 2.019302615193026)
(167, 2.019302615193026)
(168, 2.019302615193026)
(169, 2.019302615193026)
(171, 2.019302615193026)
(51, 1.9757160647571606)
(52, 0.9576587795765878)
(50, 0.0)
(61, 0.0)
(79, 0.0)
(81, 0.0)
(90, 0.0)
(109, 0.0)
(112, 0.0)
(118, 0.0)
(120, 0.0)
(122, 0.0)
(124, 0.0)
(128, 0.0)
(172, 0.0)
(72, -0.0112079701120797)
(119, -0.019302615193026153)
(73, -0.038605230386052306)
(63, -0.0410958904109589)
(53, -0.053549190535491904)
(91, -0.0759651307596513)

