Sus_Jaccard:
(75, 1.0)
(109, 0.8048780487804879)
(58, 0.5954545454545455)
(72, 0.4870848708487085)
(104, 0.48175182481751827)
(81, 0.4782608695652174)
(126, 0.4782608695652174)
(128, 0.4782608695652174)
(134, 0.4782608695652174)
(163, 0.46153846153846156)
(63, 0.4253731343283582)
(50, 0.3977272727272727)
(119, 0.37109375)
(164, 0.36694677871148457)
(61, 0.3628808864265928)
(73, 0.35967302452316074)
(165, 0.35405405405405405)
(56, 0.33248730964467005)
(168, 0.33073929961089493)
(162, 0.32989690721649484)
(118, 0.32917705735660846)
(124, 0.32917705735660846)
(141, 0.32917705735660846)
(158, 0.32917705735660846)
(159, 0.32917705735660846)
(171, 0.32917705735660846)
(127, 0.28509719222462204)
(166, 0.2717391304347826)
(169, 0.20666666666666667)
(51, 0.1952662721893491)
(167, 0.15789473684210525)
(120, 0.1569767441860465)
(160, 0.1569767441860465)
(133, 0.1489841986455982)
(148, 0.08365019011406843)
(161, 0.08365019011406843)
(53, 0.0730593607305936)
(52, 0.05853658536585366)
(90, 0.0)
(91, 0.0)
(93, 0.0)
(99, 0.0)
(112, 0.0)
(122, 0.0)
(172, 0.0)

Sus_Ochiai:
(75, 1.0)
(109, 0.8971499589146108)
(58, 0.7704816016209726)
(72, 0.6979146587145941)
(104, 0.6940834422585791)
(81, 0.6915640748081247)
(126, 0.6915640748081247)
(128, 0.6915640748081247)
(134, 0.6915640748081247)
(163, 0.6793662204867574)
(63, 0.6275493461220256)
(164, 0.6043093740326656)
(61, 0.6009427217981385)
(73, 0.5997274585369263)
(165, 0.5935689122111819)
(56, 0.5751591786697668)
(118, 0.5737395379060157)
(124, 0.5737395379060157)
(141, 0.5737395379060157)
(158, 0.5737395379060157)
(159, 0.5737395379060157)
(171, 0.5737395379060157)
(50, 0.5706353193852716)
(119, 0.5587461996487969)
(127, 0.5339449337006785)
(162, 0.5232559521341829)
(168, 0.5188236699276674)
(166, 0.47483573524849143)
(133, 0.38598471296878867)
(169, 0.3854576667590452)
(51, 0.34330328116279757)
(167, 0.2892709559399513)
(148, 0.2892234259427622)
(160, 0.2892234259427622)
(161, 0.2892234259427622)
(120, 0.2871041017899016)
(53, 0.13721904886988792)
(52, 0.11328823680740414)
(90, 0.0)
(91, 0.0)
(93, 0)
(99, 0.0)
(112, 0)
(122, 0.0)
(172, 0)

Sus_Op2:
(75, 132.0)
(109, 131.97833446174678)
(72, 131.90589031821258)
(104, 131.90385917400135)
(81, 131.90250507786052)
(126, 131.90250507786052)
(128, 131.90250507786052)
(134, 131.90250507786052)
(163, 131.8957345971564)
(73, 131.84089370345293)
(63, 131.83750846310087)
(58, 131.82532159783344)
(118, 131.81787406905892)
(124, 131.81787406905892)
(141, 131.81787406905892)
(158, 131.81787406905892)
(159, 131.81787406905892)
(171, 131.81787406905892)
(127, 131.77589708869328)
(133, 131.4895057549086)
(148, 131.02098849018282)
(160, 131.02098849018282)
(161, 131.02098849018282)
(162, 131.02098849018282)
(164, 131.02098849018282)
(165, 131.02098849018282)
(166, 131.02098849018282)
(167, 131.02098849018282)
(168, 131.02098849018282)
(169, 131.02098849018282)
(61, 130.84495599187542)
(56, 130.8226134055518)
(119, 94.91604603926879)
(50, 69.97020988490183)
(51, 32.974949221394716)
(120, 26.97291807718348)
(53, 15.941096817874069)
(52, 11.950575490859851)
(90, 0.0)
(93, 0.0)
(99, 0.0)
(112, 0.0)
(122, 0.0)
(172, 0.0)
(91, -0.08463100880162491)

